City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Goderich,CA,2020-07-10 21:46:58,43.75,-81.72,84.0,75,100,8.52
106,Arraial Do Cabo,BR,2020-07-10 21:46:58,-22.97,-42.03,68.0,77,11,5.82
107,Gao,ML,2020-07-10 21:46:58,16.64,1.64,84.43,47,99,15.37
108,Taoudenni,ML,2020-07-10 21:46:36,22.68,-3.98,97.36,25,50,17.2
109,Yangambi,CD,2020-07-10 21:46:59,0.81,24.43,70.52,89,87,2.53
110,Presidencia Roque Saenz Pena,AR,2020-07-10 21:46:59,-26.79,-60.44,69.76,63,34,5.1
111,Carnarvon,AU,2020-07-10 21:46:59,-24.87,113.63,53.6,50,0,10.29
112,Kaitangata,NZ,2020-07-10 21:44:33,-46.28,169.85,45.0,73,65,3.0
113,Leningradskiy,RU,2020-07-10 21:46:59,69.38,178.42,47.8,74,12,11.61
114,Codrington,AU,2020-07-10 21:42:32,-38.27,141.97,47.23,87,100,4.29
115,Souillac,MU,2020-07-10 21:47:00,-20.52,57.52,69.8,64,75,18.34
116,East London,ZA,2020-07-10 21:46:25,-33.02,27.91,66.42,57,35,24.45
117,Poum,NC,2020-07-10 21:43:35,-20.23,164.02,69.31,68,51,12.01
118,Hanzhong,CN,2020-07-10 21:47:00,33.07,107.03,69.13,91,100,4.59
119,Hobart,AU,2020-07-10 21:42:20,-42.88,147.33,39.2,93,90,5.82
120,Kenai,US,2020-07-10 21:44:22,60.55,-151.26,60.8,72,75,5.82
121,Emerald,AU,2020-07-10 21:44:33,-23.53,148.17,51.01,89,16,4.41
122,Boa Vista,BR,2020-07-10 21:47:01,2.82,-60.67,87.8,52,40,8.05
123,Victoria,HK,2020-07-10 21:47:01,22.29,114.16,84.99,83,100,15.43
124,Kodiak,US,2020-07-10 21:47:02,57.79,-152.41,64.4,52,1,6.93
125,Batagay,RU,2020-07-10 21:47:02,67.63,134.63,71.49,37,0,4.25
126,Pipri,IN,2020-07-10 21:47:02,19.8,75.53,77.0,83,40,4.7
127,Prince Rupert,CA,2020-07-10 21:42:04,54.32,-130.32,55.4,87,90,13.87
128,Lingyuan,CN,2020-07-10 21:47:03,41.24,119.4,67.8,75,8,4.03
129,Magnor,SE,2020-07-10 21:47:03,59.95,12.2,51.8,93,100,1.12
130,Asilah,MA,2020-07-10 21:47:03,35.47,-6.03,73.4,78,0,16.11
131,Mbini,GQ,2020-07-10 21:47:03,1.57,9.61,77.0,94,40,8.05
132,Kavieng,PG,2020-07-10 21:47:03,-2.57,150.8,83.35,76,91,11.63
133,Thompson,CA,2020-07-10 21:47:04,55.74,-97.86,68.0,56,75,10.29
