City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Fortuna,US,71.01,few clouds,40.6,-124.16,
299,Noumea,NC,69.01,scattered clouds,-22.28,166.46,
300,Batagay,RU,72.77,broken clouds,67.63,134.63,
301,Cidreira,BR,58.28,overcast clouds,-30.18,-50.21,
302,Zavyalovo,RU,62.6,light intensity shower rain,54.51,82.45,
303,Mareeba,AU,70.0,broken clouds,-17.0,145.43,
304,Mongu,ZM,56.7,clear sky,-15.25,23.13,
305,Omboue,GA,73.33,overcast clouds,-1.57,9.26,
307,Norwich,GB,61.0,broken clouds,52.63,1.3,
309,Pingliang,CN,59.65,clear sky,35.54,106.69,
310,Airai,TL,55.9,overcast clouds,-8.93,125.41,
312,Lyuban,BY,51.06,overcast clouds,52.8,28.0,
313,Antanifotsy,MG,53.13,overcast clouds,-19.65,47.32,
314,Luderitz,,55.4,clear sky,-26.65,15.16,
315,Balaipungut,ID,74.3,overcast clouds,1.05,101.28,
316,Kupang,ID,75.49,overcast clouds,-10.17,123.58,
317,Marsh Harbour,BS,79.74,overcast clouds,26.54,-77.06,
318,Hwange,ZW,55.51,clear sky,-18.37,26.5,
319,Faya,SA,77.0,clear sky,18.39,42.45,
323,Igarka,RU,52.47,overcast clouds,67.47,86.58,
328,Chuy,UY,51.93,clear sky,-33.7,-53.46,
329,Sidi Ali,DZ,78.28,overcast clouds,36.1,0.42,
334,Malinyi,TZ,68.77,few clouds,-8.93,36.13,
336,Faanui,PF,79.16,overcast clouds,-16.48,-151.75,
338,Lasa,IT,60.8,clear sky,46.62,10.7,
340,Margate,GB,61.0,overcast clouds,51.38,1.39,
341,Bani Walid,LY,72.05,clear sky,31.76,13.99,
343,Kaeo,NZ,53.01,scattered clouds,-35.1,173.78,
345,Winsum,NL,61.0,overcast clouds,53.33,6.52,
348,Alghero,IT,71.6,broken clouds,40.56,8.32,
349,Nemuro,JP,54.86,overcast clouds,43.32,145.57,
350,Nizhniy Tsasuchey,RU,64.94,overcast clouds,50.52,115.13,
351,Sao Filipe,CV,74.43,scattered clouds,14.9,-24.5,
353,Vestmanna,FO,51.8,overcast clouds,62.16,-7.17,
355,Altay,CN,57.15,overcast clouds,47.87,88.12,
357,Kawalu,ID,71.56,overcast clouds,-7.38,108.21,
363,Kalianget,ID,79.36,overcast clouds,-7.05,113.93,
364,Boa Vista,BR,78.8,broken clouds,2.82,-60.67,
365,Cumra,TR,77.0,clear sky,37.57,32.77,
368,Ambulu,ID,72.57,overcast clouds,-8.35,113.61,
369,Lujiang,CN,73.0,light rain,31.26,117.28,
370,Iqaluit,CA,62.6,broken clouds,63.75,-68.51,
371,Kocevje,SI,66.99,clear sky,45.64,14.86,
372,Hobyo,SO,79.83,scattered clouds,5.35,48.53,
376,Oyama,JP,71.01,broken clouds,36.3,139.8,
377,Abashiri,JP,56.44,overcast clouds,44.02,144.27,
378,Birjand,IR,71.6,clear sky,32.87,59.22,
380,Saint-Augustin,CA,62.01,overcast clouds,51.23,-58.65,
382,Chumikan,RU,50.05,broken clouds,54.72,135.31,
383,Kaniama,CD,71.62,broken clouds,-7.57,24.18,
387,Ranchi,IN,77.0,haze,23.35,85.33,
388,Bonoua,CI,77.0,few clouds,5.27,-3.6,
389,Mantua,IT,70.0,clear sky,45.17,10.78,
391,Hay River,CA,62.6,shower rain,60.82,-115.8,
392,Poopo,BO,51.85,clear sky,-18.37,-66.97,
393,Lompoc,US,77.0,clear sky,34.64,-120.46,
394,Inuvik,CA,60.8,broken clouds,68.35,-133.72,
395,Porto Novo,BJ,77.0,few clouds,6.5,2.6,
397,Meulaboh,ID,76.26,overcast clouds,4.14,96.13,
398,Sorland,NO,53.6,few clouds,67.67,12.69,
400,Batagay-Alyta,RU,69.3,broken clouds,67.8,130.41,
402,Guangyuan,CN,61.0,broken clouds,32.44,105.82,
403,Jumla,NP,59.2,scattered clouds,29.27,82.18,
404,Eureka,US,72.0,clear sky,40.8,-124.16,
405,Quatre Cocos,MU,72.0,few clouds,-20.21,57.76,
408,Tema,GH,77.0,few clouds,5.67,-0.02,
409,Pontianak,ID,74.98,overcast clouds,-0.03,109.33,
411,Shenjiamen,CN,77.72,overcast clouds,29.96,122.3,
415,Mackay,AU,60.8,overcast clouds,-21.15,149.2,
416,Gomel,BY,59.0,overcast clouds,52.43,30.98,
417,Novikovo,RU,65.98,clear sky,51.15,37.89,
418,Souris,CA,79.0,broken clouds,49.62,-100.26,
419,Khani,GE,75.2,broken clouds,41.96,42.96,
420,Ginda,IN,64.47,clear sky,30.69,78.49,
422,Saint-Pierre,RE,68.0,few clouds,-21.34,55.48,
423,Praia Da Vitoria,PT,73.4,few clouds,38.73,-27.07,
424,Iquique,CL,60.8,few clouds,-20.22,-70.14,
429,Kruisfontein,ZA,52.75,clear sky,-34.0,24.73,
432,Ola,RU,57.36,clear sky,59.58,151.28,
434,Sorong,ID,76.03,clear sky,-0.88,131.25,
435,Touros,BR,78.8,few clouds,-5.2,-35.46,
438,Maxixe,MZ,60.08,clear sky,-23.86,35.35,
440,Bitung,ID,75.2,few clouds,1.45,125.18,
441,Cap-Chat,CA,76.14,scattered clouds,49.1,-66.68,
442,Phalaborwa,ZA,50.63,clear sky,-23.94,31.14,
443,Marawi,PH,73.99,overcast clouds,8.0,124.29,
444,Sindor,RU,55.69,broken clouds,62.86,51.89,
445,Kysyl-Syr,RU,68.09,scattered clouds,63.9,122.76,
446,Conde,BR,78.8,few clouds,-7.26,-34.91,
447,Sosnovo-Ozerskoye,RU,56.77,overcast clouds,52.52,111.54,
448,Labuhan,ID,75.38,broken clouds,-6.88,112.21,
449,Vao,NC,71.67,broken clouds,-22.67,167.48,
452,Kodino,RU,50.23,broken clouds,63.72,39.64,
453,Ordzhonikidze,KZ,69.12,clear sky,52.44,61.74,
454,Pisco,PE,66.0,scattered clouds,-13.7,-76.22,
455,Bodmin,GB,60.01,clear sky,50.47,-4.72,
456,Hastings,GB,60.01,broken clouds,50.86,0.57,
457,Pulandian,CN,70.0,light rain,39.4,121.97,
458,Canakkale,TR,75.2,clear sky,40.08,26.83,
459,Tegal,ID,76.71,broken clouds,-6.87,109.14,
461,Aleksandrov Gay,RU,79.66,broken clouds,50.15,48.57,
462,Beaverlodge,CA,64.4,broken clouds,55.22,-119.44,
463,Lalsk,RU,56.07,clear sky,60.74,47.59,
464,Ust-Maya,RU,66.58,clear sky,60.42,134.53,
469,Udachnyy,RU,53.6,broken clouds,66.42,112.4,
470,Ulagan,RU,52.02,overcast clouds,50.63,87.96,
471,Ucluelet,CA,62.6,scattered clouds,48.93,-125.55,
473,Pringsewu,ID,73.2,overcast clouds,-5.36,104.97,
475,Takoradi,GH,74.97,few clouds,4.88,-1.76,
480,Belmonte,BR,73.4,broken clouds,-15.86,-38.88,
481,Nkayi,CG,75.74,few clouds,-4.18,13.29,
482,Quang Ngai,VN,76.3,few clouds,15.12,108.8,
483,Khash,IR,68.38,clear sky,28.22,61.22,
484,Saint-Francois,FR,68.0,broken clouds,46.42,3.91,
485,Klaksvik,FO,51.8,overcast clouds,62.23,-6.59,
486,Coaticook,CA,73.4,light rain,45.13,-71.8,
487,Roebourne,AU,60.33,scattered clouds,-20.78,117.13,
488,Fereydun Kenar,IR,77.0,broken clouds,36.69,52.52,
489,Havre,FR,60.8,broken clouds,49.58,0.33,
491,Apam,GH,74.77,scattered clouds,5.28,-0.74,
492,Bogotol,RU,53.89,clear sky,56.21,89.53,
493,Odweyne,SO,76.95,clear sky,9.41,45.06,
494,Goderich,CA,71.01,overcast clouds,43.75,-81.72,
495,Okha,RU,54.36,overcast clouds,53.57,142.95,
497,Vostok,RU,56.53,overcast clouds,46.49,135.88,
498,Porkhov,RU,53.6,broken clouds,57.77,29.56,
499,Kampene,CD,72.0,few clouds,-3.6,26.67,
500,Kashi,CN,75.2,few clouds,39.45,75.98,
501,Puerto Baquerizo Moreno,EC,67.8,overcast clouds,-0.9,-89.6,
506,Lifford,IE,62.6,scattered clouds,54.83,-7.48,
