City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
177,Panguna,PG,-6.32,155.48,70.03,98,100,0.51,light rain,0.11,0
178,Sampang,ID,-7.19,113.24,78.42,82,100,5.03,overcast clouds,0.0,0
179,Lorengau,PG,-2.02,147.27,81.03,76,99,2.53,overcast clouds,0.0,0
180,Tautira,PF,-17.73,-149.15,82.4,61,40,6.93,scattered clouds,0.0,0
181,Voi,KE,-3.39,38.56,69.03,81,65,12.12,broken clouds,0.0,0
182,Bongandanga,CD,1.5,21.05,77.86,74,96,0.51,overcast clouds,0.0,0
183,Saint-Philippe,RE,-21.36,55.77,68.0,72,16,6.93,light rain,0.57,0
184,Isla Vista,US,34.41,-119.86,95.0,57,1,8.05,clear sky,0.0,0
185,Ust-Nera,RU,64.57,143.2,68.7,45,100,6.26,overcast clouds,0.0,0
186,Esperance,AU,-33.87,121.9,50.0,57,0,20.8,clear sky,0.0,0
187,Liverpool,GB,53.41,-2.98,64.4,59,15,5.82,few clouds,0.0,0
188,Hithadhoo,MV,-0.6,73.08,85.32,68,84,7.16,broken clouds,0.0,0
189,Monrovia,LR,6.3,-10.8,77.0,94,75,9.8,broken clouds,0.0,0
190,Fruitvale,US,39.08,-108.5,99.0,11,1,5.82,clear sky,0.0,0
191,Fort Wellington,GY,6.4,-57.6,80.83,82,25,9.17,light rain,0.46,0
192,Souillac,MU,-20.52,57.52,71.6,73,20,14.99,few clouds,0.0,0
193,Sundsvall,SE,62.39,17.31,57.2,62,91,8.05,overcast clouds,0.0,0
194,Port Moresby,PG,-9.44,147.18,74.8,90,92,4.9,overcast clouds,0.0,0
195,Merauke,ID,-8.47,140.33,77.31,85,74,15.12,broken clouds,0.0,0
196,Bambous Virieux,MU,-20.34,57.76,72.0,73,20,14.99,few clouds,0.0,0
197,Prince Rupert,CA,54.32,-130.32,57.2,82,40,4.7,scattered clouds,0.0,0
198,Guerrero Negro,MX,27.98,-114.06,86.34,30,0,16.82,clear sky,0.0,0
199,Vuktyl,RU,63.86,57.31,57.11,72,62,11.03,broken clouds,0.0,0
200,Salym,RU,60.06,71.48,57.63,67,19,5.75,few clouds,0.0,0
201,Matara,LK,5.95,80.54,79.09,87,88,8.79,overcast clouds,0.0,0
202,Vallenar,CL,-28.57,-70.76,78.62,21,60,4.7,broken clouds,0.0,0
203,Vanimo,PG,-2.67,141.3,78.13,83,100,2.33,light rain,0.74,0
204,Ulaangom,MN,49.98,92.07,61.29,86,100,7.87,moderate rain,3.64,0
205,Chaiya,TH,9.39,99.2,76.89,89,100,5.19,light rain,0.18,0
206,Isiro,CD,2.77,27.62,67.23,97,96,0.96,light rain,0.41,0
207,Cedar City,US,37.68,-113.06,96.8,11,1,9.17,clear sky,0.0,0
208,Melville,US,40.79,-73.42,90.0,43,75,14.99,broken clouds,0.0,0
